=== Bayesian Optimization for Nonlinear Factor Graph Tracking ===
Loaded 500 nonlinear trajectories
dt_vec size: 199, first 10: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Max consecutive dt ratio: 1
=== Nonlinear BayesOpt Tracking Test ===
  Turn rate: 0.1 rad/s
  Consistency method: nis4
  Process noise bounds: [0.001, 2]
[BayesOpt Nonlinear] Parameters: V0=1.95799, R=0.62789, Metric=1.66877, Time=2233ms
[BayesOpt Nonlinear] Iteration: 97
[BayesOpt Nonlinear] Parameters: V0=0.534089, R=3.87224, Metric=2.00461, Time=1835ms
[BayesOpt Nonlinear] Iteration: 98
[BayesOpt Nonlinear] Parameters: V0=1.42887, R=3.96065, Metric=2.59828, Time=2237ms
[BayesOpt Nonlinear] Iteration: 99
[BayesOpt Nonlinear] Parameters: V0=1.35999, R=2.04467, Metric=0.911513, Time=2040ms
[BayesOpt Nonlinear] Iteration: 100
[BayesOpt Nonlinear] Parameters: V0=0.805339, R=3.47493, Metric=1.98195, Time=1842ms
[BayesOpt Nonlinear] Iteration: 101
[BayesOpt Nonlinear] Parameters: V0=1.14292, R=0.23638, Metric=4.18686, Time=2148ms
[BayesOpt Nonlinear] Iteration: 102
[BayesOpt Nonlinear] Parameters: V0=0.423153, R=1.67915, Metric=0.222829, Time=1801ms
- 20:25:09.380886 INFO: Iteration: 1 of 500 | Total samples: 101
- 20:25:09.380899 INFO: Query: [2](0.423153,1.67915)
- 20:25:09.380904 INFO: Query outcome: 0.222829
- 20:25:09.380906 INFO: Best query: [2](0.497199,1.70302)
- 20:25:09.380909 INFO: Best outcome: 0.195265
[BayesOpt Nonlinear] Iteration: 103
[BayesOpt Nonlinear] Parameters: V0=0.446077, R=1.76854, Metric=0.170878, Time=2017ms
- 20:25:11.401686 INFO: Iteration: 2 of 500 | Total samples: 102
- 20:25:11.401698 INFO: Query: [2](0.446077,1.76854)
- 20:25:11.401703 INFO: Query outcome: 0.170878
- 20:25:11.401705 INFO: Best query: [2](0.446077,1.76854)
- 20:25:11.401708 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 104
[BayesOpt Nonlinear] Parameters: V0=0.00124953, R=3.55579, Metric=9.24242, Time=1786ms
- 20:25:13.191271 INFO: Iteration: 3 of 500 | Total samples: 103
- 20:25:13.191287 INFO: Query: [2](0.00124953,3.55579)
- 20:25:13.191293 INFO: Query outcome: 9.24242
- 20:25:13.191295 INFO: Best query: [2](0.446077,1.76854)
- 20:25:13.191298 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 105
[BayesOpt Nonlinear] Parameters: V0=0.00118822, R=3.12734, Metric=9.44467, Time=1688ms
- 20:25:14.882971 INFO: Iteration: 4 of 500 | Total samples: 104
- 20:25:14.882989 INFO: Query: [2](0.00118822,3.12734)
- 20:25:14.882996 INFO: Query outcome: 9.44467
- 20:25:14.882998 INFO: Best query: [2](0.446077,1.76854)
- 20:25:14.883003 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 106
[BayesOpt Nonlinear] Parameters: V0=0.305998, R=3.35587, Metric=1.27551, Time=1908ms
- 20:25:16.794376 INFO: Iteration: 5 of 500 | Total samples: 105
- 20:25:16.794394 INFO: Query: [2](0.305998,3.35587)
- 20:25:16.794403 INFO: Query outcome: 1.27551
- 20:25:16.794407 INFO: Best query: [2](0.446077,1.76854)
- 20:25:16.794412 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 107
[BayesOpt Nonlinear] Parameters: V0=1.13187, R=1.43733, Metric=0.299, Time=2107ms
- 20:25:18.907771 INFO: Iteration: 6 of 500 | Total samples: 106
- 20:25:18.907816 INFO: Query: [2](1.13187,1.43733)
- 20:25:18.907839 INFO: Query outcome: 0.299
- 20:25:18.907847 INFO: Best query: [2](0.446077,1.76854)
- 20:25:18.907856 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 108
[BayesOpt Nonlinear] Parameters: V0=1.58849, R=1.3537, Metric=0.33278, Time=2155ms
- 20:25:21.066865 INFO: Iteration: 7 of 500 | Total samples: 107
- 20:25:21.066888 INFO: Query: [2](1.58849,1.3537)
- 20:25:21.066895 INFO: Query outcome: 0.33278
- 20:25:21.066897 INFO: Best query: [2](0.446077,1.76854)
- 20:25:21.066900 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 109
[BayesOpt Nonlinear] Parameters: V0=0.230009, R=2.37162, Metric=0.283281, Time=1807ms
- 20:25:22.876911 INFO: Iteration: 8 of 500 | Total samples: 108
- 20:25:22.876926 INFO: Query: [2](0.230009,2.37162)
- 20:25:22.876933 INFO: Query outcome: 0.283281
- 20:25:22.876936 INFO: Best query: [2](0.446077,1.76854)
- 20:25:22.876941 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 110
[BayesOpt Nonlinear] Parameters: V0=0.892261, R=1.64072, Metric=0.188823, Time=2044ms
- 20:25:24.925104 INFO: Iteration: 9 of 500 | Total samples: 109
- 20:25:24.925115 INFO: Query: [2](0.892261,1.64072)
- 20:25:24.925122 INFO: Query outcome: 0.188823
- 20:25:24.925125 INFO: Best query: [2](0.446077,1.76854)
- 20:25:24.925130 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 111
[BayesOpt Nonlinear] Parameters: V0=0.433504, R=1.72179, Metric=0.197842, Time=1862ms
- 20:25:26.790580 INFO: Iteration: 10 of 500 | Total samples: 110
- 20:25:26.790591 INFO: Query: [2](0.433504,1.72179)
- 20:25:26.790596 INFO: Query outcome: 0.197842
- 20:25:26.790598 INFO: Best query: [2](0.446077,1.76854)
- 20:25:26.790601 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 112
[BayesOpt Nonlinear] Parameters: V0=0.492115, R=1.50127, Metric=0.359042, Time=1864ms
- 20:25:28.658584 INFO: Iteration: 11 of 500 | Total samples: 111
- 20:25:28.658617 INFO: Query: [2](0.492115,1.50127)
- 20:25:28.658625 INFO: Query outcome: 0.359042
- 20:25:28.658628 INFO: Best query: [2](0.446077,1.76854)
- 20:25:28.658633 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 113
[BayesOpt Nonlinear] Parameters: V0=0.959489, R=1.54515, Metric=0.240871, Time=2204ms
- 20:25:30.866640 INFO: Iteration: 12 of 500 | Total samples: 112
- 20:25:30.866651 INFO: Query: [2](0.959489,1.54515)
- 20:25:30.866656 INFO: Query outcome: 0.240871
- 20:25:30.866659 INFO: Best query: [2](0.446077,1.76854)
- 20:25:30.866666 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 114
[BayesOpt Nonlinear] Parameters: V0=0.435226, R=1.72309, Metric=0.196775, Time=1767ms
- 20:25:32.637845 INFO: Iteration: 13 of 500 | Total samples: 113
- 20:25:32.637862 INFO: Query: [2](0.435226,1.72309)
- 20:25:32.637870 INFO: Query outcome: 0.196775
- 20:25:32.637872 INFO: Best query: [2](0.446077,1.76854)
- 20:25:32.637877 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 115
[BayesOpt Nonlinear] Parameters: V0=0.761671, R=1.65913, Metric=0.188203, Time=1930ms
- 20:25:34.572485 INFO: Iteration: 14 of 500 | Total samples: 114
- 20:25:34.572497 INFO: Query: [2](0.761671,1.65913)
- 20:25:34.572502 INFO: Query outcome: 0.188203
- 20:25:34.572504 INFO: Best query: [2](0.446077,1.76854)
- 20:25:34.572507 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 116
[BayesOpt Nonlinear] Parameters: V0=1.99993, R=2.00443, Metric=1.05934, Time=2066ms
- 20:25:36.644217 INFO: Iteration: 15 of 500 | Total samples: 115
- 20:25:36.644233 INFO: Query: [2](1.99993,2.00443)
- 20:25:36.644241 INFO: Query outcome: 1.05934
- 20:25:36.644244 INFO: Best query: [2](0.446077,1.76854)
- 20:25:36.644248 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 117
[BayesOpt Nonlinear] Parameters: V0=0.930036, R=1.73761, Metric=0.317332, Time=2038ms
- 20:25:38.687571 INFO: Iteration: 16 of 500 | Total samples: 116
- 20:25:38.687589 INFO: Query: [2](0.930036,1.73761)
- 20:25:38.687596 INFO: Query outcome: 0.317332
- 20:25:38.687599 INFO: Best query: [2](0.446077,1.76854)
- 20:25:38.687604 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 118
[BayesOpt Nonlinear] Parameters: V0=1.56946, R=1.53993, Metric=0.279869, Time=2104ms
- 20:25:40.795582 INFO: Iteration: 17 of 500 | Total samples: 117
- 20:25:40.795596 INFO: Query: [2](1.56946,1.53993)
- 20:25:40.795604 INFO: Query outcome: 0.279869
- 20:25:40.795607 INFO: Best query: [2](0.446077,1.76854)
- 20:25:40.795612 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 119
[BayesOpt Nonlinear] Parameters: V0=1.30273, R=1.61252, Metric=0.296588, Time=1960ms
- 20:25:42.759580 INFO: Iteration: 18 of 500 | Total samples: 118
- 20:25:42.759596 INFO: Query: [2](1.30273,1.61252)
- 20:25:42.759603 INFO: Query outcome: 0.296588
- 20:25:42.759607 INFO: Best query: [2](0.446077,1.76854)
- 20:25:42.759612 INFO: Best outcome: 0.170878
[BayesOpt Nonlinear] Iteration: 120
[BayesOpt Nonlinear] Parameters: V0=0.460501, R=1.79152, Metric=0.156141, Time=1916ms
- 20:25:44.680691 INFO: Iteration: 19 of 500 | Total samples: 119
- 20:25:44.680705 INFO: Query: [2](0.460501,1.79152)
- 20:25:44.680712 INFO: Query outcome: 0.156141
- 20:25:44.680716 INFO: Best query: [2](0.460501,1.79152)
- 20:25:44.680720 INFO: Best outcome: 0.156141
[BayesOpt Nonlinear] Iteration: 121
[BayesOpt Nonlinear] Parameters: V0=0.759875, R=1.58374, Metric=0.231901, Time=2035ms
- 20:25:46.722028 INFO: Iteration: 20 of 500 | Total samples: 120
- 20:25:46.722041 INFO: Query: [2](0.759875,1.58374)
- 20:25:46.722048 INFO: Query outcome: 0.231901
- 20:25:46.722051 INFO: Best query: [2](0.460501,1.79152)
- 20:25:46.722055 INFO: Best outcome: 0.156141
[BayesOpt Nonlinear] Iteration: 122
[BayesOpt Nonlinear] Parameters: V0=0.399692, R=2.58107, Metric=0.860727, Time=2002ms
- 20:25:48.729417 INFO: Iteration: 21 of 500 | Total samples: 121
- 20:25:48.729431 INFO: Query: [2](0.399692,2.58107)
- 20:25:48.729439 INFO: Query outcome: 0.860727
- 20:25:48.729443 INFO: Best query: [2](0.460501,1.79152)
- 20:25:48.729448 INFO: Best outcome: 0.156141
[BayesOpt Nonlinear] Iteration: 123
[BayesOpt Nonlinear] Parameters: V0=0.44137, R=1.73311, Metric=0.190178, Time=1838ms
- 20:25:50.572017 INFO: Iteration: 22 of 500 | Total samples: 122
- 20:25:50.572032 INFO: Query: [2](0.44137,1.73311)
- 20:25:50.572042 INFO: Query outcome: 0.190178
- 20:25:50.572045 INFO: Best query: [2](0.460501,1.79152)
- 20:25:50.572050 INFO: Best outcome: 0.156141
[BayesOpt Nonlinear] Iteration: 124
[BayesOpt Nonlinear] Parameters: V0=0.469507, R=1.81278, Metric=0.14362, Time=1983ms
- 20:25:52.559830 INFO: Iteration: 23 of 500 | Total samples: 123
- 20:25:52.559855 INFO: Query: [2](0.469507,1.81278)
- 20:25:52.559864 INFO: Query outcome: 0.14362
- 20:25:52.559867 INFO: Best query: [2](0.469507,1.81278)
- 20:25:52.559872 INFO: Best outcome: 0.14362
[BayesOpt Nonlinear] Iteration: 125
[BayesOpt Nonlinear] Parameters: V0=1.32638, R=1.30922, Metric=0.376397, Time=2066ms
- 20:25:54.630871 INFO: Iteration: 24 of 500 | Total samples: 124
- 20:25:54.630887 INFO: Query: [2](1.32638,1.30922)
- 20:25:54.630894 INFO: Query outcome: 0.376397
- 20:25:54.630897 INFO: Best query: [2](0.469507,1.81278)
- 20:25:54.630902 INFO: Best outcome: 0.14362
[BayesOpt Nonlinear] Iteration: 126
[BayesOpt Nonlinear] Parameters: V0=1.99974, R=2.47139, Metric=1.57834, Time=1877ms
- 20:25:56.512299 INFO: Iteration: 25 of 500 | Total samples: 125
- 20:25:56.512315 INFO: Query: [2](1.99974,2.47139)
- 20:25:56.512326 INFO: Query outcome: 1.57834
- 20:25:56.512328 INFO: Best query: [2](0.469507,1.81278)
- 20:25:56.512332 INFO: Best outcome: 0.14362
[BayesOpt Nonlinear] Iteration: 127
[BayesOpt Nonlinear] Parameters: V0=0.465085, R=1.85132, Metric=0.135259, Time=1854ms
- 20:25:58.370637 INFO: Iteration: 26 of 500 | Total samples: 126
- 20:25:58.370647 INFO: Query: [2](0.465085,1.85132)
- 20:25:58.370652 INFO: Query outcome: 0.135259
- 20:25:58.370654 INFO: Best query: [2](0.465085,1.85132)
- 20:25:58.370657 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 128
[BayesOpt Nonlinear] Parameters: V0=0.483741, R=1.80247, Metric=0.145994, Time=1979ms
- 20:26:00.353689 INFO: Iteration: 27 of 500 | Total samples: 127
- 20:26:00.353703 INFO: Query: [2](0.483741,1.80247)
- 20:26:00.353709 INFO: Query outcome: 0.145994
- 20:26:00.353711 INFO: Best query: [2](0.465085,1.85132)
- 20:26:00.353714 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 129
[BayesOpt Nonlinear] Parameters: V0=0.463776, R=1.8871, Metric=0.181246, Time=1903ms
- 20:26:02.261607 INFO: Iteration: 28 of 500 | Total samples: 128
- 20:26:02.261631 INFO: Query: [2](0.463776,1.8871)
- 20:26:02.261641 INFO: Query outcome: 0.181246
- 20:26:02.261645 INFO: Best query: [2](0.465085,1.85132)
- 20:26:02.261652 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 130
[BayesOpt Nonlinear] Parameters: V0=0.463183, R=1.79745, Metric=0.152597, Time=1894ms
- 20:26:04.167879 INFO: Iteration: 29 of 500 | Total samples: 129
- 20:26:04.167909 INFO: Query: [2](0.463183,1.79745)
- 20:26:04.167919 INFO: Query outcome: 0.152597
- 20:26:04.167948 INFO: Best query: [2](0.465085,1.85132)
- 20:26:04.167954 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 131
[BayesOpt Nonlinear] Parameters: V0=0.496816, R=1.79934, Metric=0.145143, Time=1924ms
- 20:26:06.096579 INFO: Iteration: 30 of 500 | Total samples: 130
- 20:26:06.096596 INFO: Query: [2](0.496816,1.79934)
- 20:26:06.096604 INFO: Query outcome: 0.145143
- 20:26:06.096607 INFO: Best query: [2](0.465085,1.85132)
- 20:26:06.096611 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 132
[BayesOpt Nonlinear] Parameters: V0=0.445088, R=1.79103, Metric=0.159701, Time=1818ms
- 20:26:07.919135 INFO: Iteration: 31 of 500 | Total samples: 131
- 20:26:07.919147 INFO: Query: [2](0.445088,1.79103)
- 20:26:07.919153 INFO: Query outcome: 0.159701
- 20:26:07.919155 INFO: Best query: [2](0.465085,1.85132)
- 20:26:07.919158 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 133
[BayesOpt Nonlinear] Parameters: V0=0.680422, R=1.72252, Metric=0.160706, Time=1861ms
- 20:26:09.784576 INFO: Iteration: 32 of 500 | Total samples: 132
- 20:26:09.784595 INFO: Query: [2](0.680422,1.72252)
- 20:26:09.784603 INFO: Query outcome: 0.160706
- 20:26:09.784605 INFO: Best query: [2](0.465085,1.85132)
- 20:26:09.784608 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 134
[BayesOpt Nonlinear] Parameters: V0=0.518848, R=1.78768, Metric=0.147254, Time=1844ms
- 20:26:11.632700 INFO: Iteration: 33 of 500 | Total samples: 133
- 20:26:11.632714 INFO: Query: [2](0.518848,1.78768)
- 20:26:11.632720 INFO: Query outcome: 0.147254
- 20:26:11.632722 INFO: Best query: [2](0.465085,1.85132)
- 20:26:11.632726 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 135
[BayesOpt Nonlinear] Parameters: V0=0.516209, R=1.78961, Metric=0.146711, Time=1876ms
- 20:26:13.512775 INFO: Iteration: 34 of 500 | Total samples: 134
- 20:26:13.512790 INFO: Query: [2](0.516209,1.78961)
- 20:26:13.512798 INFO: Query outcome: 0.146711
- 20:26:13.512802 INFO: Best query: [2](0.465085,1.85132)
- 20:26:13.512807 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 136
[BayesOpt Nonlinear] Parameters: V0=0.496928, R=1.79741, Metric=0.1461, Time=1769ms
- 20:26:15.288858 INFO: Iteration: 35 of 500 | Total samples: 135
- 20:26:15.288867 INFO: Query: [2](0.496928,1.79741)
- 20:26:15.288872 INFO: Query outcome: 0.1461
- 20:26:15.288874 INFO: Best query: [2](0.465085,1.85132)
- 20:26:15.288877 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 137
[BayesOpt Nonlinear] Parameters: V0=0.455092, R=1.78708, Metric=0.159521, Time=1777ms
- 20:26:17.070418 INFO: Iteration: 36 of 500 | Total samples: 136
- 20:26:17.070446 INFO: Query: [2](0.455092,1.78708)
- 20:26:17.070453 INFO: Query outcome: 0.159521
- 20:26:17.070455 INFO: Best query: [2](0.465085,1.85132)
- 20:26:17.070458 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 138
[BayesOpt Nonlinear] Parameters: V0=0.675037, R=1.69261, Metric=0.177563, Time=1969ms
- 20:26:19.044498 INFO: Forced random query!
[BayesOpt Nonlinear] Iteration: 139
[BayesOpt Nonlinear] Parameters: V0=1.15244, R=0.28403, Metric=3.81218, Time=2235ms
- 20:26:21.280437 INFO: Iteration: 37 of 500 | Total samples: 137
- 20:26:21.280453 INFO: Query: [2](1.15244,0.28403)
- 20:26:21.280471 INFO: Query outcome: 3.81218
- 20:26:21.280475 INFO: Best query: [2](0.465085,1.85132)
- 20:26:21.280480 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 140
[BayesOpt Nonlinear] Parameters: V0=0.675037, R=1.6926, Metric=0.177564, Time=1925ms
- 20:26:23.213822 INFO: Iteration: 38 of 500 | Total samples: 138
- 20:26:23.213835 INFO: Query: [2](0.675037,1.6926)
- 20:26:23.213841 INFO: Query outcome: 0.177564
- 20:26:23.213842 INFO: Best query: [2](0.465085,1.85132)
- 20:26:23.213845 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 141
[BayesOpt Nonlinear] Parameters: V0=0.539207, R=1.77433, Metric=0.150866, Time=1828ms
- 20:26:25.046493 INFO: Iteration: 39 of 500 | Total samples: 139
- 20:26:25.046512 INFO: Query: [2](0.539207,1.77433)
- 20:26:25.046518 INFO: Query outcome: 0.150866
- 20:26:25.046520 INFO: Best query: [2](0.465085,1.85132)
- 20:26:25.046523 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 142
[BayesOpt Nonlinear] Parameters: V0=0.608964, R=1.30795, Metric=0.602084, Time=1819ms
- 20:26:26.870429 INFO: Iteration: 40 of 500 | Total samples: 140
- 20:26:26.870442 INFO: Query: [2](0.608964,1.30795)
- 20:26:26.870448 INFO: Query outcome: 0.602084
- 20:26:26.870452 INFO: Best query: [2](0.465085,1.85132)
- 20:26:26.870455 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 143
[BayesOpt Nonlinear] Parameters: V0=0.762468, R=1.72311, Metric=0.200396, Time=1923ms
- 20:26:28.799013 INFO: Iteration: 41 of 500 | Total samples: 141
- 20:26:28.799026 INFO: Query: [2](0.762468,1.72311)
- 20:26:28.799033 INFO: Query outcome: 0.200396
- 20:26:28.799035 INFO: Best query: [2](0.465085,1.85132)
- 20:26:28.799040 INFO: Best outcome: 0.135259
[BayesOpt Nonlinear] Iteration: 144
[BayesOpt Nonlinear] Parameters: V0=0.491953, R=1.82117, Metric=0.135071, Time=1884ms
- 20:26:30.688824 INFO: Iteration: 42 of 500 | Total samples: 142
- 20:26:30.688836 INFO: Query: [2](0.491953,1.82117)
- 20:26:30.688842 INFO: Query outcome: 0.135071
- 20:26:30.688843 INFO: Best query: [2](0.491953,1.82117)
- 20:26:30.688846 INFO: Best outcome: 0.135071
[BayesOpt Nonlinear] Iteration: 145
[BayesOpt Nonlinear] Parameters: V0=0.492114, R=1.81751, Metric=0.136868, Time=1786ms
- 20:26:32.478872 INFO: Iteration: 43 of 500 | Total samples: 143
- 20:26:32.478884 INFO: Query: [2](0.492114,1.81751)
- 20:26:32.478891 INFO: Query outcome: 0.136868
- 20:26:32.478894 INFO: Best query: [2](0.491953,1.82117)
- 20:26:32.478900 INFO: Best outcome: 0.135071
[BayesOpt Nonlinear] Iteration: 146
[BayesOpt Nonlinear] Parameters: V0=0.471646, R=1.77788, Metric=0.160803, Time=1772ms
- 20:26:34.254793 INFO: Iteration: 44 of 500 | Total samples: 144
- 20:26:34.254805 INFO: Query: [2](0.471646,1.77788)
- 20:26:34.254810 INFO: Query outcome: 0.160803
- 20:26:34.254812 INFO: Best query: [2](0.491953,1.82117)
- 20:26:34.254815 INFO: Best outcome: 0.135071
[BayesOpt Nonlinear] Iteration: 147
[BayesOpt Nonlinear] Parameters: V0=0.660706, R=1.61348, Metric=0.223637, Time=1930ms
- 20:26:36.188907 INFO: Iteration: 45 of 500 | Total samples: 145
- 20:26:36.188934 INFO: Query: [2](0.660706,1.61348)
- 20:26:36.188942 INFO: Query outcome: 0.223637
- 20:26:36.188944 INFO: Best query: [2](0.491953,1.82117)
- 20:26:36.188947 INFO: Best outcome: 0.135071
[BayesOpt Nonlinear] Iteration: 148
[BayesOpt Nonlinear] Parameters: V0=0.57479, R=1.75892, Metric=0.153732, Time=1845ms
- 20:26:38.039670 INFO: Iteration: 46 of 500 | Total samples: 146
- 20:26:38.039681 INFO: Query: [2](0.57479,1.75892)
- 20:26:38.039686 INFO: Query outcome: 0.153732
- 20:26:38.039688 INFO: Best query: [2](0.491953,1.82117)
- 20:26:38.039691 INFO: Best outcome: 0.135071
[BayesOpt Nonlinear] Iteration: 149
[BayesOpt Nonlinear] Parameters: V0=0.499007, R=1.82285, Metric=0.132946, Time=1753ms
- 20:26:39.797969 INFO: Iteration: 47 of 500 | Total samples: 147
- 20:26:39.797992 INFO: Query: [2](0.499007,1.82285)
- 20:26:39.798001 INFO: Query outcome: 0.132946
- 20:26:39.798003 INFO: Best query: [2](0.499007,1.82285)
- 20:26:39.798006 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 150
[BayesOpt Nonlinear] Parameters: V0=1.21438, R=1.52203, Metric=0.240941, Time=2041ms
- 20:26:41.844562 INFO: Iteration: 48 of 500 | Total samples: 148
- 20:26:41.844588 INFO: Query: [2](1.21438,1.52203)
- 20:26:41.844593 INFO: Query outcome: 0.240941
- 20:26:41.844596 INFO: Best query: [2](0.499007,1.82285)
- 20:26:41.844599 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 151
[BayesOpt Nonlinear] Parameters: V0=0.497844, R=1.8278, Metric=0.138509, Time=1798ms
- 20:26:43.647644 INFO: Iteration: 49 of 500 | Total samples: 149
- 20:26:43.647653 INFO: Query: [2](0.497844,1.8278)
- 20:26:43.647658 INFO: Query outcome: 0.138509
- 20:26:43.647660 INFO: Best query: [2](0.499007,1.82285)
- 20:26:43.647663 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 152
[BayesOpt Nonlinear] Parameters: V0=0.515982, R=1.7891, Metric=0.147008, Time=1833ms
- 20:26:45.551424 INFO: Iteration: 50 of 500 | Total samples: 150
- 20:26:45.551453 INFO: Query: [2](0.515982,1.7891)
- 20:26:45.551469 INFO: Query outcome: 0.147008
- 20:26:45.551473 INFO: Best query: [2](0.499007,1.82285)
- 20:26:45.551477 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 153
[BayesOpt Nonlinear] Parameters: V0=0.123833, R=3.35755, Metric=0.305831, Time=1725ms
- 20:26:47.283950 INFO: Iteration: 51 of 500 | Total samples: 151
- 20:26:47.283965 INFO: Query: [2](0.123833,3.35755)
- 20:26:47.283971 INFO: Query outcome: 0.305831
- 20:26:47.283975 INFO: Best query: [2](0.499007,1.82285)
- 20:26:47.283980 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 154
[BayesOpt Nonlinear] Parameters: V0=0.164061, R=2.08522, Metric=0.277243, Time=1743ms
- 20:26:49.031703 INFO: Iteration: 52 of 500 | Total samples: 152
- 20:26:49.031712 INFO: Query: [2](0.164061,2.08522)
- 20:26:49.031718 INFO: Query outcome: 0.277243
- 20:26:49.031720 INFO: Best query: [2](0.499007,1.82285)
- 20:26:49.031722 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 155
[BayesOpt Nonlinear] Parameters: V0=0.292826, R=2.10004, Metric=0.176029, Time=1742ms
- 20:26:50.778758 INFO: Iteration: 53 of 500 | Total samples: 153
- 20:26:50.778777 INFO: Query: [2](0.292826,2.10004)
- 20:26:50.778783 INFO: Query outcome: 0.176029
- 20:26:50.778785 INFO: Best query: [2](0.499007,1.82285)
- 20:26:50.778788 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 156
[BayesOpt Nonlinear] Parameters: V0=1.04287, R=1.4568, Metric=0.291284, Time=1909ms
- 20:26:52.693989 INFO: Iteration: 54 of 500 | Total samples: 154
- 20:26:52.694010 INFO: Query: [2](1.04287,1.4568)
- 20:26:52.694015 INFO: Query outcome: 0.291284
- 20:26:52.694017 INFO: Best query: [2](0.499007,1.82285)
- 20:26:52.694021 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 157
[BayesOpt Nonlinear] Parameters: V0=0.353387, R=1.82561, Metric=0.168591, Time=1742ms
- 20:26:54.441777 INFO: Iteration: 55 of 500 | Total samples: 155
- 20:26:54.441787 INFO: Query: [2](0.353387,1.82561)
- 20:26:54.441792 INFO: Query outcome: 0.168591
- 20:26:54.441793 INFO: Best query: [2](0.499007,1.82285)
- 20:26:54.441796 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 158
[BayesOpt Nonlinear] Parameters: V0=0.841653, R=1.55718, Metric=0.241453, Time=1904ms
- 20:26:56.352370 INFO: Iteration: 56 of 500 | Total samples: 156
- 20:26:56.352394 INFO: Query: [2](0.841653,1.55718)
- 20:26:56.352399 INFO: Query outcome: 0.241453
- 20:26:56.352401 INFO: Best query: [2](0.499007,1.82285)
- 20:26:56.352404 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 159
[BayesOpt Nonlinear] Parameters: V0=0.150009, R=2.71026, Metric=0.161509, Time=1668ms
- 20:26:58.025791 INFO: Iteration: 57 of 500 | Total samples: 157
- 20:26:58.025800 INFO: Query: [2](0.150009,2.71026)
- 20:26:58.025806 INFO: Query outcome: 0.161509
- 20:26:58.025807 INFO: Best query: [2](0.499007,1.82285)
- 20:26:58.025810 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 160
[BayesOpt Nonlinear] Parameters: V0=1.72216, R=1.29033, Metric=0.370987, Time=2109ms
- 20:27:00.140904 INFO: Iteration: 58 of 500 | Total samples: 158
- 20:27:00.140916 INFO: Query: [2](1.72216,1.29033)
- 20:27:00.140921 INFO: Query outcome: 0.370987
- 20:27:00.140923 INFO: Best query: [2](0.499007,1.82285)
- 20:27:00.140926 INFO: Best outcome: 0.132946
[BayesOpt Nonlinear] Iteration: 161
[BayesOpt Nonlinear] Parameters: V0=1.45746, R=1.51687, Metric=0.23267, Time=1934ms
